--------- beginning of main
09-08 12:04:31.285 12753 12797 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:31.977 12753 12797 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=false multiple=true first=Rect(228, 618 - 1308, 1116) reopened=Rect(228, 618 - 1308, 1116)
09-08 12:04:34.179 12753 12797 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:35.446 12753 12797 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:36.767 12753 12797 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:38.050 12753 12797 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:39.349 12753 12797 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:40.621 12753 12797 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=false multiple=false first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:41.840 12753 12797 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=false multiple=false first=Rect(228, 618 - 1308, 1116) reopened=Rect(228, 618 - 1308, 1116)
09-08 12:04:43.638 12753 12797 I ImportPositionTest: a0538925082edfc482d7fa758e5768c3 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:44.661 12753 12797 I ImportPositionTest: 5cdb937cf9af127a605b0a29725e049e_1785748322551 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:45.632 12753 12797 I ImportPositionTest: 69fd4a6e6a21c3ef3a63627daeb71424_1785748395285 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:46.703 12753 12797 I ImportPositionTest: 3a37cb86a0c5af4ae6b43325f9d24adb_1784786678735 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:47.679 12753 12797 I ImportPositionTest: 99329d0d19242e0d5b451de10f15b3d2_1784786794999 overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:48.726 12753 12797 I ImportPositionTest: 66095dd231b121ebd1aef1a318c18a0b overflow=false multiple=true first=Rect(100, 36 - 1180, 1667) reopened=Rect(100, 36 - 1180, 1667)
09-08 12:04:49.729 12753 12797 I ImportPositionTest: d36e4eb4aac1d4ed5b23495243c550be_1788849509551 overflow=false multiple=true first=Rect(228, 618 - 1308, 1116) reopened=Rect(228, 618 - 1308, 1116)
